,0
0,1107450.0892686478
1,1109826.7219884442
2,1093451.472474376
3,1095474.2013368742
4,1108654.2178649718
5,1119799.3207315283
6,1124141.9997165632
7,1119498.919680208
8,1129017.1070992772
9,1132432.1456550893
10,1133039.0096870826
11,1115369.8669642943
12,1112793.8345307005
13,1109365.8276536346
14,1096515.3218607514
15,1089008.74549457
16,1105402.5461356044
17,1114240.2327159601
18,1115592.7707160816
19,1110130.8470543786
20,1100370.745635789
21,1094216.231890694
22,1099444.477502969
23,1091780.3175738652
24,1091803.785743171
25,1104223.5390012972
26,1097929.7453434211
27,1100710.1772674033
28,1097841.8412657098
29,1102645.7413614877
30,1104744.675300788
31,1101527.354461506
32,1090214.4197063302
33,1076227.4909358916
34,1042105.6871699158
35,1002112.8061057566
36,985375.9972378173
37,1027377.656635695
38,1050626.335603256
39,1050930.9243601204
40,1043921.0949219723
41,1009061.0246451705
42,1026786.8130382785
43,1029274.7529947195
44,1011254.4784621083
45,1036081.7378403906
46,1017896.9783517558
47,1023904.5555360632
48,1029773.7286271544
49,1022166.46749362
50,1037527.6087549079
51,1046207.9784094982
52,1049627.83271295
53,1028860.1680642208
54,1036292.4565376741
55,1024619.2122230749
56,1020131.1692118522
57,1018699.6900735628
58,1019677.6690151482
59,995179.9920857791
60,999968.2263226833
61,1020661.4412503067
62,1019445.7349871672
