,0
0,-3312.405384704005
1,2033.709461277118
2,-930.2817491623573
3,-4493.357181909494
4,3350.188428939553
5,-13990.39011869859
6,-1450.3782648656052
7,-4677.394090844085
8,213.80182977509685
9,-2587.30749532301
10,9351.942785945488
11,4160.37754950556
12,-1395.9459447932895
13,-3007.1948905931786
14,5160.265698636882
15,-3694.295730082551
16,-1211.3045515611302
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,-3381.444623873802
23,-3838.368679651059
24,35630.6492433385
25,23220.13413442485
26,-1261.7283291288186
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,-5843.220141600817
41,-8502.88873571041
42,-624.3885368835181
43,12436.167019644752
44,1704.5696074760053
45,18208.900415661745
46,8064.96202759794
47,10473.278823920991
48,-4874.4725334853865
49,6821.626816019416
50,-6137.470548641868
51,-2654.0446495325305
52,-7965.960801097564
53,2429.0477428878658
54,7791.232883872464
55,-3455.6865007581655
56,-7366.769934334559
57,1983.9310877672397
58,2903.43519665231
59,-10094.801164428703
60,-2259.878558103228
61,-9603.183804166503
