,0
0,1099492.9858211447
1,1103443.7403940249
2,1106507.3163443285
3,1107277.2311979365
4,1110538.9552833033
5,1106497.7042259818
6,1109223.0817012363
7,1113378.9449063204
8,1113523.8945450787
9,1095214.1595512389
10,1114979.0180507002
11,1113271.766773167
12,1116800.1475212446
13,1125343.1690898116
14,1148087.0194921999
15,1140370.3213358812
16,1137456.1782345215
17,1133746.1154908363
18,1117274.8490638125
19,1131699.3751757802
20,1135070.5782291545
21,1126325.5226275106
22,1120906.8236960585
23,1131899.4235491862
24,1148368.1662309482
25,1145317.2384668721
26,1141408.51630621
27,1138732.245414546
28,1148657.169422578
29,1149093.000035275
30,1152524.0835446187
31,1150228.2887743853
32,1144950.2432740605
33,1149542.0836778057
34,1147276.7186850302
35,1137649.065511119
36,1153653.718265349
37,1148957.4823152567
38,1142431.5107197359
39,1144777.8615667783
40,1142896.4994393587
41,1147802.8192063896
42,1138304.3776404867
43,1134763.3681603214
44,1126367.5973988036
45,1128750.4112824393
46,1144897.354408606
47,1147013.6114649249
48,1139656.1526870902
49,1132722.8985503404
50,1140798.614591497
51,1142766.2683271978
52,1157032.6267319992
53,1150657.890330436
54,1158556.6459758445
55,1163004.209216062
56,1154585.8862109617
57,1149005.5725804004
58,1144183.2177955264
59,1122563.208501442
60,1128166.5732523147
61,1135823.4557499855
62,1134248.7587572648
