,0
0,1124251.547925318
1,1099595.314624156
2,1082243.1926295832
3,1049493.8235388743
4,1041385.4364619504
5,1046803.8577441789
6,1054917.6918730787
7,1019179.5932938305
8,1036025.5012011109
9,1001653.4213030719
10,1005425.1509416212
11,990207.0186966751
12,994250.5071605158
13,1022466.5483451576
14,1002787.3505443238
15,1017223.2727955016
16,1009224.8488209111
17,1035197.0751812175
18,1047109.4398664106
19,1041316.3834216457
20,1010334.5908302361
21,1009065.0855680606
22,1016602.9617260378
23,994184.3636418141
24,974680.2730751879
25,967906.885273169
26,967063.3441549203
27,953960.0820651766
28,976047.0260786008
29,995782.2441328631
30,1012701.5559306156
31,1003669.6699116182
32,1004671.5611473725
33,1028036.8608936282
34,1009895.0695360287
35,1013165.5615886679
36,1024586.8130091822
37,1025536.3037407392
38,1019840.3612365305
39,1053265.1813485043
40,1056237.8586278155
41,1059046.9042996033
42,1061127.6172328042
43,1056241.8705489624
44,1043078.6211723278
45,1047767.0008001035
46,1051092.6073693142
47,1068200.150991017
48,1068391.6248840697
49,1066030.2303917871
50,1069500.8434529123
51,1090850.0104079663
52,1102414.8657910756
53,1101573.6980710542
54,1096115.7495212257
55,1094917.4266794962
56,1097975.269478352
57,1098694.3295355407
58,1110514.0540854125
59,1115324.8281356667
60,1115182.491944424
61,1125024.2587563228
62,1117273.8367862278
