,0
0,3971.964645531494
1,-9262.120399761945
2,2167.062329870416
3,2210.0167803941295
4,4432.92460215278
5,5346.724189639557
6,19360.227895172546
7,9647.273648045026
8,5327.344523421023
9,10868.55523695657
10,26250.462848411174
11,-13006.96808932419
12,-8804.470041534398
13,1544.9407892466988
14,5436.04846163257
15,4905.650110460119
16,-25918.311706400244
17,-8890.510694725672
18,16105.901355785318
19,-8335.107740493026
20,-31266.14636327233
21,-2735.5779104179237
22,574.7847246383317
23,16641.632257586578
24,-37166.87175948662
25,13267.50746650598
26,7309.488832175033
27,9760.512958697509
28,-11721.655747093726
29,-11129.1095057223
30,10398.41260917508
31,-14461.314803625224
32,-21947.646244360832
33,-618.0026639832649
34,-18003.4977666426
35,-14980.948983232025
36,1757.43688450614
37,-20170.040194179164
38,7339.586063703056
39,35635.54098371323
40,6155.5287206843495
41,19160.356478705537
42,17123.1104850166
43,9624.80875988584
44,384.59053287794814
45,-7060.648586098338
46,11492.066264494788
47,-3506.4288756335154
48,4305.53484163573
49,20487.887991346885
50,4278.993551652646
51,24891.931494869525
52,299.96946274256334
53,-5360.718630795367
54,-19181.496637393255
55,3394.962602521293
56,2462.1199060729705
57,6725.752466893056
58,10372.489967533387
59,-1104.2630529487506
60,15763.398731775116
61,-6370.68776242272
