,0
0,-905.2477145281155
1,-29349.518397486303
2,24757.653533054283
3,9273.658852793975
4,16232.813140807673
5,-2608.1221872644965
6,12277.09941389435
7,-4057.731747883372
8,16348.44623221457
9,-15213.438916448504
10,7285.551430428168
11,-2911.2221986602526
12,-8392.258870521327
13,5375.585695393151
14,6314.300960689783
15,14748.126861706143
16,-7162.188401131891
17,13377.643527028617
18,-13323.383980697254
19,18964.69111441518
20,14658.134169349214
21,6333.065229247091
22,2060.5057054935023
23,13938.985622505657
24,-3032.4136030930094
25,-1952.3109283258673
26,-1477.8936120911967
27,2598.4288872878533
28,5440.570822420064
29,13488.394723229576
30,-1183.6679243249819
31,-19187.28372232057
32,-7013.520477404352
33,-18.17486023926176
34,87.53401204221882
35,6737.523602293106
36,7764.264818520751
37,4832.411706532352
38,-10897.183784634806
39,-23723.20744722616
40,-13156.327365807258
41,12565.74813755881
42,2917.781217564363
43,18048.863880455494
44,627.1612023350317
45,-9287.389608006924
46,-821.3352730248589
47,16953.22883445793
48,-4128.079043183243
49,9294.508715237025
50,2922.6508977280464
51,-6464.1832770977635
52,9476.334969368763
53,9481.46837712382
54,59.670557386940345
55,-1592.5168507792987
56,4531.436861378606
57,-2585.313806734048
58,-14104.93440075079
59,6421.151614090195
60,23948.443294855533
61,-13234.248265050584
