,0
0,2841.0019120315555
1,-1141.8858542931266
2,1501.329059268115
3,-161.27264702459797
4,1779.0385518772528
5,-7299.94266820082
6,4342.486443737871
7,3538.5517376851058
8,13544.686875151005
9,3193.667586059426
10,3148.9952179148095
11,1400.1640064474195
12,8619.839264224865
13,-1047.9579622508027
14,-597.0780157885747
15,14294.027445891872
16,788.197611697833
17,1207.7414768971503
18,-7350.160693059675
19,3184.6588627750752
20,3924.892046222114
21,4692.529601766728
22,3653.969839966623
23,3120.531352459686
24,-1002.6045909440145
25,3088.7675624198746
26,-11050.130824791733
27,7486.555382053601
28,-2627.342854913324
29,-3944.3032691914123
30,14056.790118303616
31,-2428.3077253554948
32,4883.990609106841
33,-139.16012362157926
34,-478.9808264810126
35,24.80658289627172
36,-6154.512125511887
37,6591.616180707235
38,3006.643831651192
39,8989.809559795307
40,436.94712612521835
41,2327.8881144737825
42,104.73069928167388
43,-1768.2699510934763
44,-7231.919220692711
45,-15520.301634974778
46,9674.447244685376
47,149.6473016240634
48,-8411.227939129807
49,15101.726059581852
50,716.4798761624843
51,5557.002334583085
52,-325.61652528098784
53,2391.9794250193518
54,-11637.003043053905
55,3923.0147131748963
56,-11589.094950702274
57,-3915.7819891248364
58,-3617.0951056142803
59,5230.564407795435
60,-681.1663455998059
61,-3882.80913072126
62,7940.621889661532
63,5111.7796662012115
64,46.41899602347985
65,2508.798569432227
66,2786.186096462654
67,-16885.75216137059
68,2767.9767122820485
69,16457.83746107109
70,4832.934131686576
71,-1898.4379006430972
72,119.53155612642877
73,-4776.3616551239975
74,2681.676879550563
75,-12530.16941735684
76,1187.653006433975
77,-17641.000700043747
78,11702.176555303624
79,-23387.879770015134
80,-14313.727054670104
81,5428.666892374167
82,-17263.665190178086
83,6533.069220577367
84,3253.8007944980636
85,-28185.38136585278
86,32112.767778903362
87,9335.706017968594
88,17057.4423925929
89,-33120.63855041552
90,1877.5286036567995
91,386.825937429443
92,-19849.054839170305
93,-10018.682019484346
94,7097.075870479923
95,25603.014747601235
96,-2154.219112330815
97,1345.4115426220233
98,12028.635354716098
99,1359.825708228629
100,10171.429470112314
101,-7775.809153151582
102,-26809.336447592243
103,19060.396302744746
104,-5768.919884941075
105,10486.840633435291
106,10852.319681714056
107,-11442.939297168865
108,812.6797288889065
109,-15620.073152678087
110,2633.789451403194
111,14588.999916724511
112,-252.28218090441078
113,10504.226323413663
114,1688.8385166896041
115,-6901.126513141091
116,32113.981263371068
117,8747.728611337487
118,-7346.656994814752
119,7198.435864175903
120,-5190.26339843031
121,2197.8255331530236
122,5211.958088000538
123,2935.1362657975405
124,-250.71743529802188
125,16615.945511294296
126,1200.0717828299385
127,-2382.435275810305
128,31.71486972598359
129,10993.350469387602
130,186.08963239612058
131,9938.76401148527
132,-7143.160081955371
133,-5458.889527468942
134,6155.198020124342
135,-15172.265319659375
136,-10360.772288036998
137,-1426.6465718979016
138,-4846.212490121834
139,-26953.187922586454
140,5292.995170879643
141,13965.107950816397
142,-7838.817717397353
143,-11166.598721474176
144,12935.103134093573
145,10205.017804565141
146,-6197.546825925354
147,11934.181717583677
148,-36959.657773860265
149,-2312.7732340805233
150,-5817.540632922435
151,15450.521277635591
152,-37549.92198224575
153,-18130.361937608453
154,-3890.0589542038506
155,-7183.793886706815
156,39660.37557980872
157,-6359.82493208535
158,-20126.53370717622
159,-1782.320882014581
160,-21014.973555450677
161,-1432.8514694481855
162,-20991.068639227306
163,23590.546601687558
164,-19146.173092594952
165,18742.811659790226
166,40064.64276598883
167,-2826.8385821181582
168,8753.816903488594
169,-8756.46506561106
170,-9734.998548925505
171,24059.65344812791
172,22897.69144834485
173,-2104.125223254552
174,5797.341117681237
175,-31759.56527465186
176,-5506.262124407687
177,-9849.589124204824
178,-13009.453270109952
179,-16864.934947825503
180,10178.43527904281
181,233.36879724031314
182,2726.8671150399605
183,17989.167818667484
184,14990.922091138083
185,-801.8713801754639
186,-17869.734339610673
187,-177.58035856194329
188,-5056.020160980406
189,-18514.673208154505
190,-416.6106349641923
191,-24960.779820270138
192,3683.9414398628287
193,-16851.456580207916
194,14042.549550308846
195,10907.262031444116
196,-10416.61245395604
197,17883.37241385039
198,-25371.630617399234
