,0
0,1492426.690899735
1,1497120.2496518255
2,1511353.1582802963
3,1514187.0003643064
4,1514189.8430396407
5,1512674.9603509363
6,1512672.9378403362
7,1512670.7875489662
8,1512673.5720147262
9,1512674.3683556363
10,1512676.2570084461
11,1512673.6890077163
12,1512673.574097586
13,1512672.2716683461
14,1512672.5755013463
15,1512671.7555246062
16,1512673.1230172762
17,1512669.2993477662
18,1512668.0035866562
19,1512670.8689049662
20,1512672.8833856261
21,1512673.0333031663
22,1512673.418099346
23,1512674.4981392762
24,1512677.6305093062
25,1512677.6887559562
26,1512678.1818780361
27,1512681.4830140662
28,1512680.7011613061
29,1512677.476479496
30,1512678.1346673062
31,1512683.3091287161
32,1515134.431741679
33,1514810.499610842
34,1514809.256179752
35,1514809.281703882
36,1514549.6206373854
37,1514997.779004991
38,1515131.9575735184
39,1524772.5670040543
40,1528821.6680220892
41,1527572.4527257765
42,1527573.0465215764
43,1527565.1836827765
44,1527568.6793187764
45,1527567.7311986764
46,1527564.9442418765
47,1527563.0919927764
48,1527565.1265843764
49,1528261.8036551266
50,1527606.7820749306
51,1527610.1603402307
52,1527608.6727914307
53,1527606.8876962306
54,1527606.2830514307
55,1527598.0966195306
56,1527598.9603586306
57,1527599.1043100306
58,1527599.4690103307
59,1527599.0947275306
60,1527600.7358407306
61,1524021.059346526
62,1538434.4715620545
