,0
0,2064433.1591624657
1,2062366.7492287331
2,2070932.5751449028
3,2087953.8199492665
4,2078547.1076721454
5,2095187.8863549118
6,2084925.0610719277
7,2092356.1793057967
8,2113052.9560689367
9,2120371.180121134
10,2108977.351929807
11,2103903.753543969
12,2106351.5505141714
13,2090616.112937501
14,2054492.6762546408
15,2068984.7004031828
16,2066220.7607087465
17,2078234.237326519
18,2026979.9800061241
19,2041279.0763735853
20,2064707.479896064
21,2102985.695924778
22,2111355.098297523
23,2090989.9944029842
24,2098940.1652300614
25,2106904.623932442
26,2128392.3298082203
27,2123193.9383606054
28,2138434.390131899
29,2129424.526536466
30,2136196.5866258848
31,2131884.114722793
32,2102860.1889811866
33,2015033.4472831348
34,1944265.5951776456
35,1922808.882026382
36,1855111.7234918422
37,1865878.9899973301
38,1939909.5774914564
39,1869969.1597753703
40,1943100.3564571696
41,1870910.310687916
42,1837744.8974604874
43,1693456.4416540724
44,1780357.5778721024
45,1695157.768232155
46,1519292.387532127
47,1652996.0899512267
48,1651343.1029217385
49,1651343.1029217385
50,1651343.1029217385
51,1651343.1029217385
52,1651343.1029217385
53,1643794.8132662883
54,1643418.916063144
55,1646130.8481132041
56,1687295.8548490452
57,1631310.6280353502
58,1683664.6621591428
59,1680845.241833908
60,1608080.976044152
61,1630723.4994074549
62,1601942.1699908325
