,0
0,1117273.8367862278
1,1113218.8737697797
2,1095686.2669782098
3,1100670.7114594695
4,1100169.2970337288
5,1114362.08814201
6,1130837.4889380427
7,1133664.4854878194
8,1129504.236857532
9,1136794.7688630356
10,1144258.3846695623
11,1151505.9158758176
12,1142331.9656354573
13,1147399.948895605
14,1143345.3332831624
15,1150287.7473134135
16,1160495.9226492199
17,1145056.1888638232
18,1141274.0262219987
19,1151897.8805144182
20,1138966.837057163
21,1126248.9085384924
22,1125962.051176181
23,1129055.7171498116
24,1124676.0228469258
25,1143338.157008764
26,1132423.5989451339
27,1132283.0392146162
28,1130653.328369199
29,1140622.178296266
30,1132942.676539778
31,1145176.9965581442
32,1132403.1394383213
33,1136262.782303226
34,1136244.3075065396
35,1149591.7962999602
36,1160279.5990831694
37,1158022.1955706973
38,1162597.7934020713
39,1159188.684747459
40,1163559.90564702
41,1163080.30151747
42,1155369.5417454946
43,1161911.7195454289
44,1163437.9712086504
45,1164466.228376867
46,1162572.596501429
47,1148080.9500888393
48,1142584.3524421216
49,1137368.815957988
50,1137292.4838605232
51,1142075.3236183492
52,1136995.4196622767
53,1147649.1734683437
54,1151355.023038477
55,1147533.970437715
56,1169337.7960077173
57,1122059.1391041656
58,1106967.5942312533
59,1126012.8812785621
60,1146299.2181711257
61,1159797.7591845312
62,1158708.6518640148
