,0
0,1662165.062981926
1,1709899.9156915254
2,1718295.9183384113
3,1712211.410770499
4,1718547.368358347
5,1708352.4685881203
6,1703636.3630674297
7,1727220.8161593974
8,1728190.3115708958
9,1743471.1050352089
10,1764533.2194970222
11,1732104.411244118
12,1740748.2413143422
13,1752043.527933068
14,1762993.8325145997
15,1748534.498824065
16,1744742.2992250605
17,1770339.9709443348
18,1793722.8912035348
19,1796396.8600004027
20,1813764.2512092025
21,1830874.9436029077
22,1818025.0482463373
23,1799725.4210190848
24,1797081.5321605066
25,1799171.4185578309
26,1831095.0071113063
27,1842760.4189977865
28,1838619.0796575448
29,1853599.8154137677
30,1860171.4278112736
31,1858171.112003975
32,1840577.0882783008
33,1854180.526298414
34,1849772.986454894
35,1855934.7661763846
36,1857435.672362338
37,1818901.502951892
38,1841992.0809513475
39,1841252.0886646179
40,1855144.8784919335
41,1849174.5520583668
42,1831658.4221004215
43,1828088.101473031
44,1854554.879718765
45,1871483.842343064
46,1884436.7841177825
47,1876866.4883713815
48,1879043.6644521244
49,1883524.1559427853
50,1891732.7426423435
51,1903459.2532602376
52,1917980.9098867297
53,1877049.7693835667
54,1875667.6838033206
55,1885135.8011592235
56,1871370.7100093549
57,1868671.084210302
58,1878336.028112284
59,1900397.243801706
60,1900449.19661949
61,1901332.3919684924
62,1914018.8118710483
