,0
0,1040739.8309202314
1,1047634.5516589952
2,1042043.0530914692
3,1023740.7735610057
4,1042847.2069773698
5,1022204.6556716033
6,1006538.0321187063
7,984774.8142027464
8,985288.7128232028
9,976761.3700412308
10,974765.5779015311
11,983714.3064346736
12,985919.0024052185
13,1000738.6408430453
14,992368.420659518
15,1004567.6308684577
16,1009562.6957409609
17,1008122.3081693085
18,1019061.3025651525
19,1016346.6337072965
20,1023871.8090451971
21,1035590.3461371665
22,1033281.4024597129
23,1020679.8214429372
24,1022746.6561546908
25,1027920.6680696806
26,1029487.160117409
27,1038311.9701222577
28,1037475.1476473811
29,1034091.8359948926
30,1038140.4111397606
31,1037100.9193124868
32,1036325.9343397544
33,1033521.6078952892
34,1035628.8683869492
35,1033008.4267947508
36,1037754.6759769807
37,1042709.9235003978
38,1037516.3972354417
39,1039822.0736145477
40,1040700.0992675686
41,1036153.0337702426
42,1046609.4430432033
43,1054362.3617933185
44,1053745.402894657
45,1053679.8358452509
46,1048662.477131772
47,1051266.1992871293
48,1035318.5295482342
49,1039857.7228789019
50,1018087.9785217731
51,1009002.2212704848
52,996544.7952548326
53,1012338.6514702383
54,1042544.6542991815
55,1047868.8136420795
56,1057798.2707252507
57,1057698.8609770471
58,1056594.6214498153
59,1060332.8441935345
60,1056428.7720748873
61,1054443.3179786536
62,1050129.714681464
