,0
0,-1957.1683804098284
1,-6766.854735347093
2,4199.502106194035
3,-3411.449495216715
4,1379.0686602269998
5,3819.2768925311975
6,-1525.955345004215
7,2422.8071673527593
8,-9195.443210359314
9,10301.185539570055
10,-2540.879351400421
11,10656.34742321691
12,-762.3826363622211
13,5920.601059205364
14,-5365.853775563999
15,3145.2460139894392
16,-4423.642444818281
17,1978.8105606634635
18,-21056.215496479883
19,-3577.6264177111443
20,6830.72345315374
21,-11470.397940982832
22,-4487.18618878827
23,-4853.051057426957
24,12297.475641680649
25,2144.2258042866597
26,-3042.497575660469
27,9901.196782413172
28,4439.265600874089
29,-208.37430164206307
30,9945.326505525387
31,5780.422020849888
32,3639.675947963726
33,1248.8388737755595
34,-76.31105774734169
35,6440.691312650451
36,1286.2451464491896
37,-64.55360534205101
38,-2828.356199687347
39,4332.381326096365
40,-1370.1439828025177
41,2569.8487845801283
42,-2845.0656235690694
43,8681.361121070106
44,-1947.7117149373516
45,-7642.86808491149
46,2956.3054937545676
47,151.50662382505834
48,-8036.416178633925
49,1353.1319855838083
50,10321.704212178476
51,-646.1053211465478
52,5426.518312646309
53,2657.435532968724
54,-8180.527187230764
55,-7132.431861767778
56,7741.018829084234
57,-13507.585679088952
58,14222.233988698572
59,-1190.3784691430628
60,446.450048111612
61,-15390.934303271817
