,0
0,1440969.9170459474
1,1443441.745787442
2,1461183.0605200168
3,1467196.1793202208
4,1468003.053585374
5,1482791.4537683353
6,1480826.4440834639
7,1488034.2076422235
8,1485789.7753775571
9,1502262.8745744287
10,1508063.9332064802
11,1510653.429265305
12,1508133.0086091275
13,1506024.8178690614
14,1509429.4704504267
15,1517040.1812239685
16,1507005.892296045
17,1499429.7122626042
18,1491351.5660948253
19,1500748.416638339
20,1498505.6168355935
21,1498302.9736632335
22,1508424.6335499287
23,1520126.7661846
24,1509315.3253707273
25,1506801.4725234401
26,1475142.7029868192
27,1465531.0463224747
28,1490418.929257046
29,1483853.7648657544
30,1485587.8692216394
31,1463006.299142047
32,1457042.5810623472
33,1456173.0534285675
34,1469461.3630559195
35,1470145.4296836169
36,1465439.6308353795
37,1464688.7419905995
38,1462265.9225875488
39,1464255.4199241274
40,1478001.4974099777
41,1486870.9539781078
42,1494585.5108438553
43,1472435.8044752118
44,1480319.2521041073
45,1479790.000618727
46,1476459.9672752344
47,1501075.8464001666
48,1511605.4600678459
49,1514523.968212821
50,1517438.8997107928
51,1531823.9417700968
52,1545700.5383565659
53,1545955.419263261
54,1541537.372995926
55,1537459.7445847366
56,1533673.815262865
57,1512015.4464251534
58,1516308.689391979
59,1524534.3183199964
60,1526725.9115184466
61,1533857.051599979
62,1539775.5351063602
