,0
0,1023263.9860246493
1,1024977.1109368519
2,1010682.177963376
3,1016876.3776082775
4,1010174.9782684032
5,1016916.1186720107
6,1024385.3172392963
7,1024073.4339503461
8,1024464.7541916528
9,1009487.0471783673
10,1008476.4727517003
11,1007746.9326012742
12,1010574.9020155412
13,1010096.2099966612
14,1010096.2099966612
15,1010096.2099966612
16,1009429.9454770585
17,1008424.207650152
18,1011688.8088052492
19,1010953.5701433617
20,1010953.5701433617
21,1013205.1973256553
22,1012962.873643335
23,1011601.6941553619
24,1011373.7971004535
25,1011373.7971004535
26,1011197.3479980485
27,1010636.9949679347
28,1018079.3149051581
29,1021012.0845323298
30,1020179.5358254451
31,1032889.5990627161
32,1038993.7645962869
33,1041702.110141837
34,1043856.5086249117
35,1044325.9041845414
36,1047616.6256851461
37,1047749.0596808569
38,1043400.9280207955
39,1038801.4243839594
40,1042490.6419577498
41,1045306.3918130238
42,1048029.8281719796
43,1051621.1256643063
44,1056789.7264449045
45,1059168.6401077292
46,1049972.8342819207
47,1054910.1709722306
48,1053893.5899631958
49,1047729.9358697097
50,1045146.3896501767
51,1053170.4818713814
52,1054766.5459687528
53,1061466.6374183856
54,1064306.395362095
55,1053016.8589598285
56,1043950.2208478466
57,1054577.0226268205
58,1036100.7889505038
59,1045346.4768629342
60,1044301.1567919658
61,1044301.0006468658
62,1040739.8309202314
