,0
0,-11549.282713849563
1,-7620.971362542827
2,9313.677063204232
3,18905.85648073035
4,-30236.605936139822
5,-978.8091637927573
6,0.0
7,0.0
8,0.0
9,-2036.9886763071408
10,1636.0067619369365
11,6525.935089409933
12,-5183.142856249935
13,-2510.4017897503218
14,-23818.358007749775
15,-5366.5298165002605
16,9504.992675250163
17,2901.8631332501536
18,9145.822012000135
19,-1954.919668500428
20,3862.820649249945
21,-14848.283608749975
22,-7320.475635499926
23,-5840.344803249696
24,11348.819239250268
25,15158.779995248886
26,232.11527600081172
27,-7392.81820025004
28,-9284.176864999812
29,2619.2341169997817
30,9594.79388149979
31,-6098.216853749938
32,14339.864397250116
33,2748.1704437497538
34,8954.428156250273
35,23403.602470249985
36,1211.582807250088
37,9418.925996250007
38,-3022.517574000405
39,-431.4424512494588
40,-5705.649918750394
41,-3864.476926250034
42,6042.611064000288
43,665.680090000038
44,-1877.264823999838
45,-1599.8534322503256
46,4030.4660395001993
47,-12085.752163250349
48,-8890.909434249974
49,2091.142479500035
50,1523.031705499976
51,13505.527683749679
52,-2267.595356999431
53,-772.8678817499895
54,1612.7799872498726
55,-3750.123472250183
56,9705.280983500415
57,-3047.0923575004563
58,-2450.459826249513
59,-712.7411477501737
60,18228.67932975001
61,-2449.4312587500317
