,0
0,1000000.0
1,988450.7172861504
2,980829.7459236076
3,990143.4229868118
4,1009049.2794675422
5,978812.6735314024
6,977833.8643676096
7,977833.8643676096
8,977833.8643676096
9,977833.8643676096
10,975796.8756913025
11,977432.8824532394
12,983958.8175426493
13,978775.6746863994
14,976265.2728966491
15,952446.9148888993
16,947080.385072399
17,956585.3777476492
18,959487.2408808994
19,968633.0628928995
20,966678.1432243991
21,970540.963873649
22,955692.680264899
23,948372.2046293991
24,942531.8598261494
25,953880.6790653997
26,969039.4590606486
27,969271.5743366494
28,961878.7561363993
29,952594.5792713995
30,955213.8133883993
31,964808.6072698991
32,958710.3904161492
33,973050.2548133993
34,975798.425257149
35,984752.8534133993
36,1008156.4558836493
37,1009368.0386908994
38,1018786.9646871494
39,1015764.447113149
40,1015333.0046618995
41,1009627.3547431491
42,1005762.8778168991
43,1011805.4888808994
44,1012471.1689708994
45,1010593.9041468996
46,1008994.0507146493
47,1013024.5167541495
48,1000938.7645908991
49,992047.8551566491
50,994138.9976361492
51,995662.0293416491
52,1009167.5570253988
53,1006899.9616683994
54,1006127.0937866494
55,1007739.8737738993
56,1003989.7503016491
57,1013695.0312851495
58,1010647.938927649
59,1008197.4791013995
60,1007484.7379536494
61,1025713.4172833994
62,1023263.9860246493
