,0
0,1225858.802254034
1,1223265.4868979834
2,1225299.1963592605
3,1224368.914610098
4,1219875.5574281886
5,1223225.7458571282
6,1209235.3557384296
7,1207784.977473564
8,1203107.58338272
9,1203321.385212495
10,1200734.077717172
11,1210086.0205031175
12,1214246.398052623
13,1212850.4521078297
14,1209843.2572172366
15,1215003.5229158734
16,1211309.227185791
17,1210097.9226342298
18,1210097.9226342298
19,1210097.9226342298
20,1210097.9226342298
21,1210097.9226342298
22,1210097.9226342298
23,1206716.478010356
24,1202878.109330705
25,1238508.7585740434
26,1261728.8927084683
27,1260467.1643793394
28,1260467.1643793394
29,1260467.1643793394
30,1260467.1643793394
31,1260467.1643793394
32,1260467.1643793394
33,1260467.1643793394
34,1260467.1643793394
35,1260467.1643793394
36,1260467.1643793394
37,1260467.1643793394
38,1260467.1643793394
39,1260467.1643793394
40,1260467.1643793394
41,1254623.9442377386
42,1246121.0555020282
43,1245496.6669651447
44,1257932.8339847894
45,1259637.4035922654
46,1277846.3040079272
47,1285911.2660355251
48,1296384.5448594461
49,1291510.0723259607
50,1298331.6991419801
51,1292194.2285933383
52,1289540.1839438058
53,1281574.2231427082
54,1284003.270885596
55,1291794.5037694685
56,1288338.8172687104
57,1280972.0473343758
58,1282955.978422143
59,1285859.4136187953
60,1275764.6124543666
61,1273504.7338962634
62,1263901.550092097
