,0
0,-36944.72452123067
1,2534.4978041595314
2,31125.052577115363
3,-8960.643071479397
4,11204.580003982875
5,-3357.7011843502987
6,8999.797761230497
7,15814.515871844254
8,806.0301017756574
9,-8765.876622263575
10,-13331.918037320487
11,-302.97728493623435
12,-20840.810278436635
13,1942.0877320303116
14,24750.725144601893
15,-3865.6581285072025
16,6627.042271399172
17,-4843.856993953232
18,-5747.027843577554
19,-6197.286177076632
20,20925.58602954191
21,9972.987614589045
22,-5000.11128479219
23,14519.764825402293
24,9071.64313445962
25,8544.67904878431
26,2865.742293063551
27,-13411.187951745931
28,3204.6112679464277
29,-4936.24761705054
30,-7402.242076717783
31,3986.1345749003813
32,1724.5130397176836
33,7940.87322492199
34,-2924.2762816247996
35,184.01801971928217
36,-23368.40621718415
37,20800.076845825184
38,-10427.387103304034
39,20192.50418958231
40,7259.097057760693
41,-1200.5483097601682
42,18422.922700296156
43,-7035.244878584985
44,2005.1221000598744
45,-6985.02585205459
46,3632.7983201984316
47,-3126.681909949053
48,6606.386178235989
49,4001.675400648499
50,-9214.540547678014
51,-2567.1666442500427
52,7241.3170247224625
53,-9845.31827260903
54,1028.3641443392262
55,-25798.044963557273
56,-2107.425014587119
57,-16384.184704486514
58,10467.204711879836
59,-6326.721808067523
60,12588.447013608878
61,-7256.160496287746
