,0
0,1634115.528746454
1,1640043.4132966714
2,1615338.7764446114
3,1628529.7597128912
4,1637103.1095901043
5,1654465.3770881093
6,1654741.636530014
7,1675397.1860881057
8,1673721.7907967216
9,1673721.7907967216
10,1673721.7907967216
11,1673721.7907967216
12,1673721.7907967216
13,1673721.7907967216
14,1673721.7907967216
15,1673721.7907967216
16,1673721.7907967216
17,1673721.7907967216
18,1673721.7907967216
19,1673721.7907967216
20,1673721.7907967216
21,1673721.7907967216
22,1673721.7907967216
23,1673721.7907967216
24,1673721.7907967216
25,1673721.7907967216
26,1673721.7907967216
27,1673721.7907967216
28,1673721.7907967216
29,1673721.7907967216
30,1673721.7907967216
31,1673721.7907967216
32,1673721.7907967216
33,1673721.7907967216
34,1673721.7907967216
35,1673721.7907967216
36,1673721.7907967216
37,1673721.7907967216
38,1673721.7907967216
39,1673721.7907967216
40,1673721.7907967216
41,1673721.7907967216
42,1673721.7907967216
43,1673721.7907967216
44,1673721.7907967216
45,1673721.7907967216
46,1673721.7907967216
47,1673721.7907967216
48,1673721.7907967216
49,1673721.7907967216
50,1673721.7907967216
51,1673721.7907967216
52,1673721.7907967216
53,1673721.7907967216
54,1673721.7907967216
55,1673721.7907967216
56,1673721.7907967216
57,1673721.7907967216
58,1673721.7907967216
59,1668578.8448947452
60,1667926.4719141838
61,1675041.7867387536
62,1665028.093184249
