,0
0,1989138.5099113227
1,1986814.1006759878
2,1995208.084613406
3,2008623.1710919284
4,2023152.637378365
5,2019664.3688739273
6,2012693.5365894886
7,2007556.937503367
8,2008534.452780054
9,2004529.3344655028
10,2004261.8226882857
11,2006443.9329963303
12,2013829.9981732043
13,2002849.5918614694
14,2014040.448152901
15,2008480.703171489
16,2001748.7404584861
17,1975943.1689026821
18,1955080.7458886814
19,1939017.145667933
20,1884863.8066060257
21,1905828.7941748847
22,1911092.4938355521
23,1943018.5742616975
24,1929758.6620978527
25,1908691.6380959393
26,1936974.265296342
27,1879330.0462399833
28,1885069.5090590992
29,1911471.3797675269
30,1932770.1644011764
31,1914705.37555552
32,1928659.5279481881
33,1940166.5687771398
34,1890479.169521633
35,1910678.8161448098
36,1940041.7734562075
37,1955544.880622238
38,1982320.527837114
39,1979874.373344121
40,1961986.877255135
41,1987763.5650781882
42,2005488.2808431294
43,2022528.5871005864
44,2012805.046241052
45,2004607.9003081387
46,1998271.8108250105
47,1995133.6793903706
48,2002437.7581215575
49,1996868.801580646
50,2005942.0917505685
51,1996305.0091722582
52,1979797.969625174
53,1964335.2630031577
54,1965472.9832290497
55,1948394.1501740396
56,1963946.9088171585
57,1957782.5023136742
58,1948496.9968707638
59,1954341.978928147
60,1919369.7629220816
61,1898937.3896747888
62,1919872.4895157781
