,0
0,-15553.024232285796
1,-2958.1931424804498
2,9986.053863639943
3,18507.106614483055
4,-7236.615918683121
5,-7272.806342758238
6,131.13610493578017
7,-4894.689571924042
8,-8589.997546489583
9,16225.878028698964
10,1170.8331736358814
11,-1963.857220749138
12,14486.77769157663
13,-5173.978279292118
14,-1938.360105898464
15,-16212.926885360386
16,-13067.09357247036
17,19288.44163853745
18,-16432.155441097915
19,13314.975017702207
20,14206.317124188412
21,-5373.5261291801
22,10487.883583905641
23,-1401.7147620082833
24,-6378.266564110294
25,11273.263866356807
26,-1438.4788561591413
27,10485.482478237478
28,993.2938638173509
29,2826.563638634747
30,3468.3417770923115
31,5136.119515013648
32,4841.65851045982
33,812.8228518581018
34,6276.845217099879
35,-3089.6451412520837
36,-2391.1043782054912
37,-3766.512006445555
38,8462.31238827575
39,-9623.847351212054
40,-4483.912038653158
41,3688.6523709783796
42,-19626.671260024188
43,9465.86298823217
44,-17936.932614719495
45,-4771.677143150009
46,10690.629205625039
47,-6936.450334759662
48,19376.217392243212
49,-7399.704570519272
50,11366.771285357187
51,-3829.8119698415976
52,12561.725273973309
53,-2818.6494665832724
54,-5673.569307122147
55,-20216.848628646694
56,1547.4522553037386
57,4507.417410108494
58,15186.35374272638
59,-9480.404833344044
60,-10250.465853304602
61,3149.087969377404
