,0
0,1601942.1699908325
1,1726480.2446501881
2,1765759.2268668232
3,1777393.5265128112
4,1777611.3159037442
5,1838224.9282172883
6,1814818.11812762
7,1822956.2388909415
8,1857430.2738077396
9,1837034.5288524237
10,1788183.31772494
11,1822777.5642484145
12,1832824.6773152696
13,1849588.7250678425
14,1865414.6299717624
15,1840777.7821373632
16,1910112.5585540552
17,1897016.0171519122
18,1855796.575507451
19,1867159.2944709444
20,1885555.272176396
21,1876151.8205173505
22,1895414.5341289907
23,1920305.1913871283
24,1927732.3701318442
25,1887381.853590933
26,1862859.599432012
27,1880073.362295905
28,1901678.5499782194
29,1943051.4650313214
30,1922323.1187963388
31,1947617.7926353798
32,1933440.4675576137
33,1933091.2513717636
34,1949287.3298006142
35,1973084.257080381
36,1967372.4357534484
37,1980344.397513713
38,1985405.3031163805
39,2001798.3494773784
40,2017471.7742801406
41,2003248.5438698314
42,2047068.292702258
43,2061639.0057821467
44,2058033.1736992188
45,2052364.3885975995
46,1950774.8177620566
47,1965832.1534959523
48,1982435.1289861486
49,2028070.256258568
50,2031836.7458491717
51,2022624.6910614953
52,2012632.377937221
53,2032600.9315870334
54,2039908.6021506407
55,1991160.705391575
56,2012241.0606001115
57,1941181.4515474648
58,1976001.4038862851
59,2002800.8268928572
60,2028608.3339283217
61,2042800.473872577
62,2077579.5321958042
