,0
0,1081864.5665463097
1,1067668.1668469813
2,1064709.9737045008
3,1074696.0275681408
4,1093203.1341826238
5,1085966.5182639407
6,1078693.7119211825
7,1078824.8480261182
8,1073930.1584541942
9,1065340.1609077046
10,1081566.0389364036
11,1082736.8721100395
12,1080773.0148892903
13,1095259.792580867
14,1090085.8143015748
15,1088147.4541956764
16,1071934.527310316
17,1058867.4337378456
18,1078155.875376383
19,1061723.7199352852
20,1075038.6949529874
21,1089245.0120771758
22,1083871.4859479957
23,1094359.3695319013
24,1092957.654769893
25,1086579.3882057827
26,1097852.6520721396
27,1096414.1732159804
28,1106899.655694218
29,1107892.9495580352
30,1110719.51319667
31,1114187.8549737623
32,1119323.974488776
33,1124165.6329992358
34,1124978.4558510939
35,1131255.3010681937
36,1128165.6559269417
37,1125774.5515487362
38,1122008.0395422906
39,1130470.3519305664
40,1120846.5045793543
41,1116362.5925407012
42,1120051.2449116795
43,1100424.5736516553
44,1109890.4366398875
45,1091953.504025168
46,1087181.826882018
47,1097872.456087643
48,1090936.0057528834
49,1110312.2231451266
50,1102912.5185746073
51,1114279.2898599645
52,1110449.477890123
53,1123011.2031640962
54,1120192.553697513
55,1114518.9843903908
56,1094302.135761744
57,1095849.5880170478
58,1100357.0054271563
59,1115543.3591698827
60,1106062.9543365387
61,1095812.488483234
62,1098961.5764526115
