,0
0,1908268.6590311225
1,1899642.6732569933
2,1882165.3948636185
3,1889194.0448111831
4,1881511.3121980936
5,1835235.2776989841
6,1795645.0543652985
7,1819157.8785414216
8,1810110.72537797
9,1842990.9383052064
10,1852900.989135711
11,1830754.002650607
12,1826798.333684622
13,1814477.6495853832
14,1802000.7549631346
15,1755986.825949113
16,1778381.1922138128
17,1747418.3579278025
18,1739126.8610960043
19,1766774.3251592538
20,1783515.2538145038
21,1793820.3310146285
22,1789683.6273863378
23,1803566.9403519784
24,1813000.5081504409
25,1849194.188892191
26,1842429.0138751988
27,1842371.914820946
28,1813196.5383247542
29,1814875.5878725806
30,1803889.3299905672
31,1817974.9757430807
32,1818903.0778293672
33,1798273.3939177396
34,1780305.494008227
35,1777168.514756221
36,1771862.7099269985
37,1789406.522832299
38,1800264.60776018
39,1840903.9893551886
40,1842728.2772002788
41,1858102.4303588325
42,1869778.9147110533
43,1818234.238294514
44,1815838.8292500912
45,1783296.0787573638
46,1793557.477246314
47,1792922.7516082763
48,1795467.1943257125
49,1796084.24809584
50,1754472.801165452
51,1714846.0597279777
52,1717493.6139197985
53,1698897.2927685012
54,1676043.3193149534
55,1646979.7301917796
56,1601291.8828296259
57,1673169.7819459394
58,1695461.1051001006
59,1695248.5035689424
60,1707910.4605159156
61,1702180.9091655477
62,1662165.062981926
